127.0.0.1 - - [04/Oct/2020:20:18:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:18:57 +0900] "GET /finalProject/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:18:57 +0900] "GET /finalProject/main.do HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:18:57 +0900] "GET /finalProject/css/table.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:18:57 +0900] "GET /finalProject/css/initial.css HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:18:57 +0900] "GET /finalProject/css/button.css HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:18:57 +0900] "GET /finalProject/jquery/jquery.twbsPagination.min.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:18:57 +0900] "GET /finalProject/css/table.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:18:57 +0900] "GET /finalProject/css/initial.css HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:19:04 +0900] "GET /finalProject/coffeeDetailMove.do?seq=1 HTTP/1.1" 200 2385
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:19:04 +0900] "GET /finalProject/css/initial.css HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:19:04 +0900] "GET /finalProject/css/table.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:19:04 +0900] "GET /finalProject/css/button.css HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:19:04 +0900] "GET /finalProject/jquery/jquery.twbsPagination.min.js HTTP/1.1" 404 863
192.168.0.195 - - [04/Oct/2020:20:19:04 +0900] "-" 400 2171
192.168.0.195 - - [04/Oct/2020:20:19:04 +0900] "-" 400 2171
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:19:27 +0900] "GET /finalProject/coffeeDetailMove.do?seq=1 HTTP/1.1" 200 2385
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:19:27 +0900] "GET /finalProject/css/initial.css HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:19:27 +0900] "GET /finalProject/css/button.css HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:19:27 +0900] "GET /finalProject/jquery/jquery.twbsPagination.min.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:19:27 +0900] "GET /finalProject/css/table.css HTTP/1.1" 404 841
192.168.0.195 - - [04/Oct/2020:20:19:27 +0900] "-" 400 2171
192.168.0.195 - - [04/Oct/2020:20:19:27 +0900] "-" 400 2171
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:19:27 +0900] "GET /finalProject/coffeeDetailMove.do?seq=1 HTTP/1.1" 200 2385
