127.0.0.1 - - [03/Aug/2020:19:02:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:13:07 +0900] "GET /mySite/index.jsp HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:13:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:13:17 +0900] "GET /myWebSite/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:13:17 +0900] "GET /myWebSite/logjoin?work=first HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:13:17 +0900] "GET /myWebSite/login.jsp HTTP/1.1" 200 6239
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:13:17 +0900] "GET /myWebSite/jquery/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:13:17 +0900] "GET /myWebSite/images/eye.png HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:13:19 +0900] "POST /myWebSite/checkcont HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:13:19 +0900] "POST /myWebSite/logjoin?work=login&id=client1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:13:19 +0900] "GET /myWebSite/blog.jsp?id=client1 HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:13:20 +0900] "GET /myWebSite/menucontroll?work=addMenu&id=client1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:13:21 +0900] "GET /myWebSite/menu/addMenu.jsp?id=client1 HTTP/1.1" 500 3025
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:14:29 +0900] "GET /myWebSite/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:14:29 +0900] "GET /myWebSite/logjoin?work=first HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:14:29 +0900] "GET /myWebSite/login.jsp HTTP/1.1" 200 6239
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:14:30 +0900] "POST /myWebSite/checkcont HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:14:30 +0900] "POST /myWebSite/logjoin?work=login&id=client1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:14:30 +0900] "GET /myWebSite/blog.jsp?id=client1 HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:14:31 +0900] "GET /myWebSite/menucontroll?work=addMenu&id=client1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:14:31 +0900] "GET /myWebSite/menu/addMenu.jsp?id=client1 HTTP/1.1" 500 3025
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:17:01 +0900] "GET /myWebSite/menu/addMenu.jsp?id=client1 HTTP/1.1" 500 3025
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:17:01 +0900] "GET /myWebSite/menu/addMenu.jsp?id=client1 HTTP/1.1" 500 2244
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:17:02 +0900] "GET /myWebSite/menu/addMenu.jsp?id=client1 HTTP/1.1" 500 2244
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:17:26 +0900] "GET /myWebSite/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:17:26 +0900] "GET /myWebSite/logjoin?work=first HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:17:26 +0900] "GET /myWebSite/login.jsp HTTP/1.1" 200 6239
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:17:28 +0900] "POST /myWebSite/checkcont HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:17:28 +0900] "POST /myWebSite/logjoin?work=login&id=client1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:17:28 +0900] "GET /myWebSite/blog.jsp?id=client1 HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:17:28 +0900] "GET /myWebSite/menucontroll?work=addMenu&id=client1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:17:28 +0900] "GET /menu/addMenu.jsp?id=client1 HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:18:03 +0900] "GET /menu/addMenu.jsp?id=client1 HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:18:06 +0900] "GET /menu/addMenu.jsp?id=client1 HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:18:08 +0900] "GET /myWebSite/menucontroll?work=addMenu&id=client1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:18:08 +0900] "GET /menu/addMenu.jsp?id=client1 HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:18:11 +0900] "GET /myWebSite/blog.jsp?id=client1 HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:18:13 +0900] "GET /myWebSite/menucontroll?work=addMenu&id=client1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:18:13 +0900] "GET /myWebSite/menu/addMenu.jsp?id=client1 HTTP/1.1" 500 3025
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:18:50 +0900] "GET /myWebSite/menu/addMenu.jsp?id=client1 HTTP/1.1" 500 3025
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:18:52 +0900] "GET /myWebSite/menu/addMenu.jsp?id=client1 HTTP/1.1" 500 2244
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:18:59 +0900] "GET /myWebSite/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:18:59 +0900] "GET /myWebSite/logjoin?work=first HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:18:59 +0900] "GET /myWebSite/login.jsp HTTP/1.1" 200 6239
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:19:03 +0900] "POST /myWebSite/checkcont HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:19:03 +0900] "POST /myWebSite/logjoin?work=login&id=client1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:19:03 +0900] "GET /myWebSite/blog.jsp?id=client1 HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:19:05 +0900] "GET /myWebSite/menucontroll?work=addMenu&id=client1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:19:05 +0900] "GET /myWebSite/menu/addMenu.jsp?id=client1 HTTP/1.1" 500 3025
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:19:27 +0900] "GET /myWebSite/menu/addMenu.jsp?id=client1 HTTP/1.1" 200 4060
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:19:27 +0900] "GET /myWebSite/menu/menucontroll?work=getMenuList&id=client1 HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:19:36 +0900] "GET /myWebSite/menu/addMenu.jsp?id=client1 HTTP/1.1" 200 4060
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:19:36 +0900] "GET /myWebSite/menu/menucontroll?work=getMenuList&id=client1 HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:19:43 +0900] "GET /myWebSite/menu/addMenu.jsp?id=client1 HTTP/1.1" 200 4060
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:19:43 +0900] "GET /myWebSite/menu/menucontroll?work=getMenuList&id=client1 HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:19:44 +0900] "GET /myWebSite/menu/addMenu.jsp?id=client1 HTTP/1.1" 200 4060
0:0:0:0:0:0:0:1 - - [03/Aug/2020:19:19:44 +0900] "GET /myWebSite/menu/menucontroll?work=getMenuList&id=client1 HTTP/1.1" 404 842
